Symbol,MarketCap
AC.PA,9858841600
AI.PA,100115865600
AIR.PA,127189835776
MT.AS,19242387456
CS.PA,86061203456
BNP.PA,84424499200
EN.PA,13915667456
BVI.PA,12118131712
CAP.PA,23398760448
CA.PA,8815414272
ACA.PA,49840996352
BN.PA,47186915328
DSY.PA,45216817152
EDEN.PA,7406819840
ENGI.PA,45956210688
EL.PA,113920196608
ERF.PA,9090037760
RMS.PA,245058060288
KER.PA,22806351872
OR.PA,185833701376
LR.PA,24468238336
MC.PA,271075196928
ML.PA,22697269248
ORA.PA,32933515264
RI.PA,22689048576
PUB.PA,21682393088
RNO.PA,13211507712
SAF.PA,98065989632
SGO.PA,45385490432
SAN.PA,125544153088
SU.PA,113895022592
GLE.PA,30789695488
STLAM.MI,27805646848
STMPA.PA,16879676416
TEP.PA,5542168576
HO.PA,52295270400
TTE.PA,125679517696
UBLB.F,10981606400
VIE.PA,23797805056
DG.PA,65846534144
